Park_Name,Coordinates_longitude,Coordinates_Longitutde
Akami-Uapishkᵁ-KakKasuak-Mealy Mountains National Park Reserve,-59.366667,53.4
Aulavik National Park,-119.916667,73.7
Auyuittuq National Park,-65.016667,67.883333
Banff National Park,-116,51.5
Bruce Peninsula National Park,-81.616667,45.233333
Cape Breton Highlands National Park,-60.666667,46.716667
Elk Island National Park,-112.866667,53.616667
Forillon National Park,-64.35,48.9
Fundy National Park,-64.95,45.6
Georgian Bay Islands National Park,-79.866667,44.883333
Grasslands National Park,-107.716667,49.2
Gros Morne National Park,-57.733333,49.683333
Gulf Islands National Park Reserve,-123.45,48.85
Gwaii Haanas National Park Reserve and Haida Heritage Site,-131.466667,52.383333
Ivvavik National Park,-139.516667,69.516667
Jasper National Park,-117.9,52.8
Kejimkujik National Park,-65.216667,44.4
Kluane National Park Reserve,-138.333333,60.616667
Kootenay National Park,-116.05,50.883333
Kouchibouguac National Park,-64.966667,46.85
La Mauricie National Park,-72.966667,46.8
Mingan Archipelago National Park Reserve,-63.166667,50.216667
Mount Revelstoke National Park,-118.066667,51.083333
Nááts’ihch’oh National Park Reserve,-127.966667,62.366667
Nahanni National Park Reserve,-125.583333,61.55
Pacific Rim National Park Reserve,-124.766667,48.633333
Point Pelee National Park,-82.516667,41.966667
Prince Albert National Park,-106.366667,53.966667
Prince Edward Island National Park,-63.083333,46.416667
Pukaskwa National Park,-85.883333,48.25
Qausuittuq National Park,-100,76
Quttinirpaaq National Park,-72.216667,82.216667
Riding Mountain National Park,-100.033333,50.866667
Rouge National Urban Park,-79.233333,43.933333
Sable Island National Park Reserve of Canada,-59.916667,43.95
Sirmilik National Park,-81.133333,72.983333
Terra Nova National Park,-53.933333,48.533333
Thaidene Nëné National Park Reserve,-111,62.5
Thousand Islands National Park (formerly St Lawrence Islands National Park),-75.95,44.35
Torngat Mountains National Park,-63.866667,59.433333
Tuktut Nogait National Park,-121.75,68.816667
Ukkusiksalik National Park,-87.3,65.35
Vuntut National Park,-139.85,68.366667
Wapusk National Park,-93.366667,57.766667
Waterton Lakes National Park,-113.916667,49.05
Wood Buffalo National Park,-112.983333,59.383333
Yoho National Park,-116.483333,51.4
Glacier National Park of Canada,51.335289,-117.5297595
Pituamkek National Park Reserve,46.61083,-63.785
