Park,Year,Plot,Species,Latitude,Longitude,Province,Plot Area (m2),Number of Trees in Plot,Number of Dead of Trees,Number of Live Trees,Percent of trees that are dead,Percent of trees that are live,Percent of trees that could be assessed (e.g. No uncertainty),Number of Trees with blister rust cankers,Percent of live trees infected with blister rust (only trees confidently assessed),Percent of live trees that are healthy,Locator ID
Yoho National Park,2003,W0091,Whitebark Pine,51.25027867,-116.6312722,BC,720,50,7,43,14.00%,86.00%,43.00%,15,15.00%,34.88%,1
Yoho National Park,2003,W0092,Whitebark Pine,51.25161398,-116.6326944,BC,630,50,10,40,20.00%,80.00%,40.00%,23,23.00%,57.50%,2
Yoho National Park,2003,W0095,Whitebark Pine,51.44910236,-116.3682087,BC,270,51,1,50,1.96%,98.04%,50.00%,19,19.00%,38.00%,3
Yoho National Park,2003,W0096,Whitebark Pine,51.44990375,-116.3684135,BC,610,50,3,47,6.00%,94.00%,47.00%,18,18.00%,38.30%,4
Yoho National Park,2004,L1021,Lodgepole Pine,51.42386328,-116.4429446,BC,1580,50,6,44,12.00%,88.00%,44.00%,12,12.00%,27.27%,5
Yoho National Park,2004,W0097,Whitebark Pine,51.29053879,-116.3924151,BC,570,50,2,48,4.00%,96.00%,48.00%,2,2.00%,4.17%,6
Yoho National Park,2004,W0098,Whitebark Pine,51.29030307,-116.3920454,BC,500,57,1,56,1.75%,98.25%,56.00%,13,13.00%,23.21%,7
Yoho National Park,2004,W0099,Whitebark Pine,51.28993917,-116.3912327,BC,640,50,4,46,8.00%,92.00%,46.00%,10,10.00%,21.74%,8
Yoho National Park,2004,W0100,Whitebark Pine,51.13596731,-116.4537483,BC,500,50,24,26,48.00%,52.00%,26.00%,18,18.00%,69.23%,9
Yoho National Park,2004,W0101,Whitebark Pine,51.13686131,-116.4545525,BC,580,50,11,39,22.00%,78.00%,39.00%,29,29.00%,74.36%,10
Yoho National Park,2004,W0102,Whitebark Pine,51.53235852,-116.5290311,BC,500,50,1,49,2.00%,98.00%,49.00%,18,18.00%,36.73%,11
Yoho National Park,2004,W0103,Whitebark Pine,51.53132381,-116.5266343,BC,1060,50,6,44,12.00%,88.00%,44.00%,23,23.00%,52.27%,12
Yoho National Park,2009,L1021,Lodgepole Pine,51.42386328,-116.4429446,BC,1580,49,7,42,14.29%,85.71%,20.00%,11,11.00%,55.00%,13
Yoho National Park,2009,W0091,Whitebark Pine,51.25027867,-116.6312722,BC,720,50,32,18,64.00%,36.00%,15.00%,11,11.00%,73.33%,14
Yoho National Park,2009,W0092,Whitebark Pine,51.25161398,-116.6326944,BC,630,50,24,26,48.00%,52.00%,23.00%,18,18.00%,78.26%,15
Yoho National Park,2009,W0095,Whitebark Pine,51.44910236,-116.3682087,BC,270,51,3,48,5.88%,94.12%,46.00%,19,19.00%,41.30%,16
Yoho National Park,2009,W0096,Whitebark Pine,51.44990375,-116.3684135,BC,610,50,5,45,10.00%,90.00%,43.00%,23,23.00%,53.49%,17
Yoho National Park,2009,W0097,Whitebark Pine,51.29053879,-116.3924151,BC,570,50,2,48,4.00%,96.00%,30.00%,5,5.00%,16.67%,18
Yoho National Park,2009,W0098,Whitebark Pine,51.29030307,-116.3920454,BC,500,57,3,54,5.26%,94.74%,51.00%,13,13.00%,25.49%,19
Yoho National Park,2009,W0099,Whitebark Pine,51.28993917,-116.3912327,BC,640,50,7,43,14.00%,86.00%,39.00%,9,9.00%,23.08%,20
Yoho National Park,2009,W0100,Whitebark Pine,51.13596731,-116.4537483,BC,500,50,40,10,80.00%,20.00%,8.00%,6,6.00%,75.00%,21
Yoho National Park,2009,W0101,Whitebark Pine,51.13686131,-116.4545525,BC,580,50,38,12,76.00%,24.00%,12.00%,12,12.00%,100.00%,22
Yoho National Park,2009,W0102,Whitebark Pine,51.53235852,-116.5290311,BC,500,50,0,50,0.00%,100.00%,47.00%,22,22.00%,46.81%,23
Yoho National Park,2009,W0103,Whitebark Pine,51.53132381,-116.5266343,BC,1060,50,6,44,12.00%,88.00%,34.00%,25,25.00%,73.53%,24
